,Name,Website,Industry,Country,Funding_amount_usd,Funding_type,Last_funding_date
0,Graphy,itgraphy.com,3D,South Korea,"$3,399,818",Venture - Series Unknown,Jan 2025
1,Karman+,karmanplus.com,Aerospace,United States,"$20,000,000",Seed,Jan 2025
2,Montnany,corp.motnany.com,Agriculture,South Korea,,Seed,Jan 2025
3,Rhea Soil Health Management,rhea.africa,Agriculture,Kenya,,Pre-Seed,Jan 2025
4,Odd.Bot,www.Odd.Bot,"Agriculture, Robotics",The Netherlands,"$2,085,201",Seed,Jan 2025
5,DayOne,dayonedc.com,Analytics,Singapore,,Series B,Jan 2025
6,Meme Index,memeindex.com,"Analytics, Blockchain",,"$1,561,004",Initial Coin Offering,Jan 2025
7,Nextool Ai,www.nextool.ai,Artificial Intelligence,United States,,Pre-Seed,Jan 2025
8,Jentic Technology,jentic.com,Artificial Intelligence,Ireland,"$4,140,375",Pre-Seed,Jan 2025
9,Kai Ai,www.mykai.ai,Artificial Intelligence,United States,,Seed,Jan 2025
10,StarDetect,www.stardetect.cn,"Artificial Intelligence, Aerospace",China,,Seed,Jan 2025
11,LTV.ai,ltv.ai,"Artificial Intelligence, Analytics",United States,,Series A,Jan 2025
12,Attention Labs,www.attentionlabs.ai,"Artificial Intelligence, Analytics",Canada,"$702,560",Pre-Seed,Jan 2025
13,SpeechSense.ai,speechsense.ai,"Artificial Intelligence, Analytics",United States,,Seed,Jan 2025
14,Khenda,www.khenda.com,"Artificial Intelligence, Analytics, Healthcare",United States,"$750,000",Seed,Jan 2025
15,PIXEVIA,www.pixevia.com,"Artificial Intelligence, Retail, Artificial Intelligence",Lithuania,"$353,964",Convertible Note,Jan 2025
16,Pixmoving,www.pixmoving.com,Automotive,United States,,Series B,Jan 2025
17,Begas Motor,www.begasmotor.com,Automotive,Spain,,Private Equity,Jan 2025
18,Imagoworks,dentbird.com,Automotive,South Korea,"$15,616,415",Series C,Jan 2025
19,NASN Automotive Electronics,www.nasn-auto.com,Automotive,China,"$68,510,982",Series D,Jan 2025
20,PreComb Therapeutics,www.precomb.com,"Automotive, EV",Switzerland,,Series A,Jan 2025
21,AlloyX,alloyx.xyz,Blockchain,United States,"$10,000,000",Seed,Jan 2025
22,Ithaca Finance,www.ithacaprotocol.io,Blockchain,,"$20,000,000",Seed,Jan 2025
23,Flint,www.madebyflint.co,Cloud Computing,Singapore,"$2,000,000",Seed,Jan 2025
24,Ballerine,www.ballerine.com,Cloud Computing,Israel,"$8,500,000",Seed,Jan 2025
25,Boomerangme,boomerangme.biz,Cloud Computing,United States,"$1,500,000",Seed,Jan 2025
26,Guestara,www.guestara.com,"Cloud Computing, Artificial Intelligence, Hospitality",India,"$500,000",Pre-Seed,Jan 2025
27,Apheris,www.apheris.com,"Cloud Computing, Data, Analytics",Germany,"$20,732,472",Series A,Jan 2025
28,Palify,palify.io,"Cloud Computing, Finance",India,"$1,000,000",Pre-Seed,Jan 2025
29,Hapnin,hapnin.io,"Cloud Computing, Social Network",United States,"$59,000",Pre-Seed,Jan 2025
30,Wurthy,www.wurthy.co,"Cloud Computing, Wellness",United States,,Seed,Jan 2025
31,Zed Sleep,zedsleep.co,Consumer Goods,,"$137,406",Pre-Seed,Jan 2025
32,Keyvault,keyvault.co,Cyber Security,,"$1,000,000",Seed,Jan 2025
33,DataDance,datadance.co,"Data, Analytics",Singapore,,Seed,Jan 2025
34,Qiaojie Digital,www.bridgedp.com,"Data, Finance",China,,Seed,Jan 2025
